19-08-2019:19:26:44,752 INFO [test_ta.py:32] 账号是:  ,密码是: 
19-08-2019:19:27:11,785 INFO [test_ta.py:32] 账号是:484083158,密码是: 
19-08-2019:19:27:39,160 INFO [test_ta.py:32] 账号是:  ,密码是:0.00.0
19-08-2019:19:28:15,54 INFO [test_ta.py:32] 账号是:484083158,密码是:yuerw
19-08-2019:19:28:36,178 INFO [test_ta.py:32] 账号是:484083157,密码是:0.00.0
19-08-2019:19:29:08,307 INFO [test_ta.py:32] 账号是:484083158,密码是:0.00.0
19-08-2019:19:34:00,839 INFO [test_ta.py:32] 账号是:  ,密码是: 
19-08-2019:19:34:21,343 INFO [test_ta.py:32] 账号是:484083158,密码是: 
19-08-2019:19:34:41,488 INFO [test_ta.py:32] 账号是:  ,密码是:0.00.0
19-08-2019:19:35:02,451 INFO [test_ta.py:32] 账号是:484083158,密码是:yuerw
19-08-2019:19:35:23,613 INFO [test_ta.py:32] 账号是:484083157,密码是:0.00.0
19-08-2019:19:35:41,692 INFO [test_ta.py:32] 账号是:484083158,密码是:0.00.0
